01/12/2024 09:32:00 AM:  LOG HAS STARTED *//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//*//
01/12/2024 09:32:02 AM:  THRESHOLDED IMAGE GENERATED
01/12/2024 09:32:02 AM:  THRESHOLDED IMAGE DISPLAYED
01/12/2024 09:32:02 AM:  ALL CONTOURS GENERATED
01/12/2024 09:32:03 AM:  ALL CONTOURS DISPLAYED
01/12/2024 09:32:03 AM:  MATCHING...
01/12/2024 09:32:03 AM:  (639.5, 359.5, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (359.04265091863516, 368.8234908136483, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (315.38095238095235, 548.9863945578231, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (316.9, 555.4, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (436.8491379310345, 529.5043103448276, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (454.3333333333333, 521.6666666666666, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (507.258064516129, 457.1612903225806, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (489.1875, 450.890625, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (208.53813559322035, 448.646186440678, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (207.0, 425.0, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (528.2260273972603, 407.99657534246575, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (362.21875, 391.19471153846155, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (219.9267857142857, 284.2107142857143, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (228.34615384615387, 345.46153846153845, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (245.17391304347825, 344.2608695652174, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (183.7872340425532, 323.0, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (199.0, 292.0, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (196.46153846153848, 288.1538461538462, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (180.57777777777778, 273.3777777777778, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (233.2370820668693, 280.048632218845, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (255.61666666666667, 233.54999999999998, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (205.0769230769231, 227.90384615384616, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (203.0, 214.0, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (202.0, 213.0, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (330.2113821138212, 213.54065040650408, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (462.6266968325792, 249.19457013574663, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (937.7154626108999, 363.9011406844106, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (879.3595505617977, 567.376404494382, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (1003.2108108108108, 540.4135135135135, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (970.5, 566.0, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (1041.4285714285713, 520.4285714285714, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (979.7916666666666, 526.5520833333333, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (795.775, 486.1125, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (796.1500000000001, 526.4125, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (1125.179282868526, 419.9083665338645, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (1127.2727272727273, 461.2727272727273, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (1120.5, 459.0, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (1136.0, 435.0, 0.0, 0.0)
01/12/2024 09:32:03 AM:  (1137.0, 434.0, 0.0, 0.0)
